Id,Name,Definition,Class,PropList,Picture
clostridium_botulinum,Clostridium Botulinum,"Clostridium botulinum is a gram-positive, rod-shaped, anaerobic, spore-forming, motile bacterium with the ability to produce botulinum toxin, which is a neurotoxin. C. botulinum is a diverse group of pathogenic bacteria",Bacillus,"[""positive"", ""common in canned food"", ""heat stable toxin"", ""flaccid paralysis - descending"", ""multiple individuals presenting together"", ""diplopia/ptosis"", ""attacks snare protein in acetylcholine motor neurons"", ""floppy baby syndrome"", ""in adults ingestion of preformed toxin"", ""in babies spores in honey can outcompete normal flora in GI""]",clostridium_botulinum.png
clostridium_perfringens,Clostridum Perfringens,"Clostridium perfringens is a Gram-positive, bacillus, anaerobic, spore-forming pathogenic bacterium of the genus Clostridium. C. perfringens is ever-present in nature and can be found as a normal component of decaying vegetation, marine sediment, the intestinal tract of humans and other vertebrates, insects, and soil",Bacillus,"[""positive"", ""motorcycle accidents and deep penetrating wounds"", ""spores"", ""found in soil"", ""gas gangrene (clostridial myonecrosis) produced by carbohydrate metabolism"", ""alpha toxin (lecithinase) damages phospholipid membranes and lyses red blood cells"", ""double zone of hemolysis, alpha outer, theta inner"", ""late onset food poisoning"", ""C. perfringens is grown on agar containing egg yolk; lecithinase causes visible precipitation. In the presence of antitoxin specific for the alpha toxin, the precipitation reaction is inhibited (due to neutralization of the toxin by the antitoxin).""]",
clostridioides_difficile,Clostridioides Difficile,"Clostridioides difficile (syn. Clostridium difficile) is a bacterium known for causing serious diarrheal infections, and may also cause colon cancer. It is known also as C. difficile, or C. diff",Bacillus,"[""positive"", ""c-diff"", ""bacillus"", ""spore forming"", ""colonize normal flora of GI tract"", ""fecal-oral ingestion"", ""nosocomial (hospital-acquired) infections"", ""prevent with hand washing"", ""contact precautions"", ""occurs after antibiotic disrupts GI flora(clindamycin, fluoroquinolones, penicillin, cephalosporins, PPIs"", ""pseudomembranous colitis forms pseudomembranes and causes necrosis"", ""toxigenic"", ""toxin A more common"", ""toxin B more toxic"", ""disrupts cytoskeleton and tight junctions in the colon"", ""megacolon"", ""fecal microbiota transplant can help""]",
crepitus,Crepitus ,"Crepitus is a crackling, popping, or crunching sound that can occur in joints or the lungs",Clinical,,
leukocytosis,Leukocytosis,Leukocytosis is a condition where there is an elevated white blood cell (WBC) count,Clinical,,
fever,Fever,A fever is a temporary increase in body temperature that's usually a response to an infection or other illness,Clinical,,
pcr,Pcr (NAAT),A nucleic acid amplification test (NAAT) is a diagnostic technique that detects a specific nucleic acid sequence in a sample,Lab,,
enzyme_immunoassay,Enzyme Immunoassay,"An enzyme immunoassay (EIA), also known as an enzyme-linked immunosorbent assay (ELISA), is a laboratory test that uses enzymes to detect and measure antibodies, antigens, proteins, and hormones in bodily fluids",Lab,,
diarrhea,Diarrhea,a condition in which feces are discharged from the bowels frequently and in a liquid form,Clinical,,
gut,Gut,"In biology, the gut is another term for the gastrointestinal (GI) tract, which is a system of organs that digests food, absorbs nutrients, and excretes waste",Generic,,
corynebacterium_diphtheriae,Corynebacterium Diptheriae,Corynebacterium diphtheriae is a Gram-positive pathogenic bacterium that causes diphtheria. It is also known as the Klebs–Löffler bacillus because it was discovered in 1884 by German bacteriologists Edwin Klebs and Friedrich Löffler,Bacillus,"[""positive"", ""club shaped"", ""metachromatic granules in analin dye"", ""V or Y formation"", ""exotoxin ribosylates EF2 to inhibit protein synthesis"", ""affects tonsils, oropharynx, airways"", ""oropharynx paralysis"", ""tellurite agar and loeffler's medium"", ""elek's test for toxin strain""]",
pseudomembrane,Pseudomembrane,"A pseudomembrane is a false membrane that can develop in the eye, colon, or throat, and is made up of a combination of mucus, fibrin, bacteria, and immune system cells",Generic,,
tonsil,Tonsil,"two round, fleshy masses in the back of your throat (pharynx). Part of your immune system, your tonsils are like lymph nodes. They help filter out germs that enter through your nose or mouth to protect the rest of your body from infection.",Generic,,
oropharynx,Oropharynx,"The middle part of the throat, behind the mouth. The oropharynx includes the soft palate (the back muscular part of the roof of the mouth), the side and back walls of the throat, the tonsils, and the back one-third of the tongue.",Generic,,
airway,Airway, a passageway for air into or out of the lungs. ,Generic,,
listeria_monocytogenes,Listeria Monocytogenes,"A gram-positive bacterium causing listeriosis, often associated with contaminated food.",Bacillus,"[""positive"", ""more likely in pregnant people"", ""motile"", ""facultative intracellular"", ""survives in freezing temps"", ""packaged meat, cheese, and milk"", ""causes meningitis in newborn and adults of 60""]",
actin_rocket,Actin Rocket,"Refers to the actin-based motility used bacteria for cell-to-cell spread, often using host actin to polymerize.",Generic,,
dental,Dental,relating to the teeth or gums,Generic,,
actinomyces_israelii,Actinomyces Israelii,"A gram-positive, filamentous bacterium causing actinomycosis, often linked to poor oral hygiene.",Branched_Rods,"[""positive"", ""normal flora of oral cavity"", ""dental work/jaw trauma"", ""cervicofacial actinomyces"", ""draining sinus tracts"", ""sulfur granules"", ""requires surgical drainage""]",
nocardia_asteroides,Nocardia Asteroides,"A partially acid-fast bacterium causing nocardiosis, an opportunistic pulmonary or systemic infection.",Branched_Rods,"[""positive"", ""not spore forming"", ""acid-fast"", ""chronous granulatomous disease more at risk"", ""prominent in immunocompromised patients (HIV, transplant, glucocorticoids)"", ""prominent in men"", ""lung and brain abcesses"", ""indurated lesions"", ""cutaneous if exposed to dirt""] ",
mycolic_acid,Mycolic Acid,"A long fatty acid found in the cell walls of mycobacteria, contributing to their acid-fast properties.",Lab,,
carbol_fuchsin_stain,Carbol_Fuchsin Stain,A dye used in acid-fast staining for detecting acid-fast bacteria,Lab,,
hiv,Human Immunodeficiency Virus,"The virus that causes AIDS, weakening the immune system by targeting CD4+ T cells.",Virus,,
pns,Peripheral Nervous System,all nerves outside of the brain and spinal cord,Generic,,
cns,Central Nervous System,"The brain and spinal cord, responsible for integrating and processing information.",Generic,,
cutaneous,Cutaneous,Relating to the skin,Generic,,
induration,Induration Induration,"Hardening of tissue, often due to inflammation or fibrosis.",Clinical,,
neisseria_meningitidis,Neisseria Meningitidis,"Neisseria meningitidis, often referred to as the meningococcus, is a Gram-negative bacterium that can cause meningitis and other forms of meningococcal disease such as meningococcemia, a life-threatening sepsis",Coccus,"[""negative"", ""diplococci"", ""glucose metabolism (ferments maltose)"", ""main defense if membrane attack complex"", ""pili undergo antigenic variation"", ""IgA protease colonizes mucosa"", ""lipooligosaccharrides (basical LPS)"", ""nasopharyngeal colonization"", ""asymptomatic carriage"", ""spread in confined spaces"", ""hematogenous spread can be deadly"", ""LOS causes inflammation and blebs"", ""capsule is vaccine target and major virulence factor and helps evade phagocytosis"", ""type B is not immunogenic"", ""protein C"", ""diagnosed with spinal tap"", ""quadrivalent capsular polysaccharide vaccine"", ""recombinant serotype B vaccine"", ""hypocomplementemia/asplenic patients more at risk"", ""conjugated with diptheria toxoid""]",
neisseria_gonorrhoeae,Neisseria Gonorrhoeae,"Neisseria gonorrhoeae, also known as gonococcus (singular) or gonococci (plural), is a species of Gram-negative diplococci bacteria known to cause gonorrhea",Coccus,"[""negative"", ""facultative intracellular (infects PMNs)"", ""not encapsulated"", ""Asymptomatic carriage"", ""opacity proteins enable epithelial binding"", ""adhesins"", ""eye infection and blindness in newborns"", ""mucourulent cervicitis"", ""PID linked to abdominal pain and dispuria"", ""disseminated gonococcal infection can cause purulent arthritis, tenosynovitis, arthralgia, and dermatitis"", ""ophthalmia neonatorum, treatable with erythromycin ointment"", ""coinfection with chlamydia common"", ""barrier methods like condoms"", ""no long lasting immunity""]",
droplet,Droplet Spread,Droplet precautions are a set of infection control measures used to prevent the spread of illnesses that are transmitted through respiratory droplets,Generic,,
hematogenous,Hematogenous,Hematogenous is a medical term that means originating in the blood or spreading through the bloodstream,Generic,,
vascular_injury,Vascular Injury,"Vascular injury, also known as vascular trauma or bleeding, is an injury to a blood vessel, such as an artery or vein",Clinical,,
dic,Disseminated Intravascular Coagulation,A severe condition involving widespread clotting and bleeding.,Clinical,,
hypoglycemia,Hypoglycemia,Abnormally low blood sugar levels.,Clinical,,
hyponatremia,Hyponatremia,Low sodium levels in the blood.,Clinical,,
hyperkalemia,Hyperkalemia,Elevated potassium levels in the blood.,Clinical,,
waterhouse-friderichsen_syndrome,Waterhouse-Friderichsen Syndrome,"Adrenal gland failure due to hemorrhage, often caused by meningococcal infection.",Disease,,
myalgia,Myalgia,"Muscle pain, often associated with viral or bacterial infections.",Clinical,,
petechial_rash,Petechial Rash,"Small, pinpoint hemorrhages under the skin.",Clinical,,
spinal_tap,Spinal Tap,A lumbar puncture procedure to collect cerebrospinal fluid for diagnostic purposes.,Lab,,
prophylaxis,Prophylaxis,Preventive treatment to avoid disease.,Generic,,
vaccine,Vaccine,A biological preparation that provides immunity to specific diseases.,Antimicrobial,,
intracellular,Intracellular,"Inside a cell, often describing pathogens like viruses or some bacteria.",Generic,,
neutrophil,Neutrophil,A type of white blood cell crucial for fighting bacterial infections.,Generic,,
sti,Sexually Transmitted Infection,Infections spread primarily through sexual contact.,Disease,,
asymptomatic,Asymptomatic,Showing no symptoms of disease. Pathogen could be latent.,Generic,,
eye_infection,Eye Infection,An umbrella term used to describe conditions affecting the eye caused by pathogens.,Disease,,
urethritis,Urethritis,"Inflammation of the urethra, often caused by STIs",Clinical,"[""can be asymptomatic"", ""painful urination"", ""milky discharge""]",
prostatitis,Prostatitis,Inflammation of the prostate gland.,Clinical,,
orchitis,Orchitis,"Orchitis is a condition that causes inflammation of one or both testicles, usually due to a viral or bacterial infection",Clinical,,
cervicitis,Cervicitis,Inflammation of the cervix.,Clinical,,
salpingitis,Salpingitis,Inflammation of the fallopian tubes.,Clinical,,
fitz-hugh-curtis_syndrome,Fitz-Hugh-Curtis Cyndrome,"Fitz-Hugh–Curtis syndrome (FHCS), also known as perihepatitis, is a rare complication of pelvic inflammatory disease (PID) that causes inflammation of the liver capsule",Disease,"[""violin string adhesions""]",
dermatitis,Dermatitis,"Dermatitis is a general term for skin conditions that cause inflammation, redness, and itchiness",Clinical,,
tenosynovitis,Tenosynovitis,Tenosynovitis is a condition that causes inflammation of the fluid-filled sheath that surrounds tendons,Clinical,,
moraxella_catarrhalis,Moraxella Catarrhalis,"Moraxella catarrhalis is a fastidious, nonmotile, Gram-negative, aerobic, oxidase-positive diplococcus that can cause infections of the respiratory system, middle ear, eye, central nervous system, and joints of humans.",Coccus,"[""negative"", ""hocky puck sign"", ""exacerbated if patient has copd""]",
nasopharynx,Nasopharynx,"the top part of your throat (pharynx). It's a muscular, box-shaped passageway behind your nose, just above the roof of your mouth.",Generic,,
beta_lactamase,Beta Lactamase,"Beta-lactamases are a diverse class of enzymes produced by bacteria that break open the beta-lactam ring, inactivating the beta-lactam antibiotic. ",Generic,,
copd,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease (COPD) is a common lung disease that causes breathing problems and restricted airflow. It's characterized by progressive tissue destruction and airflow limitation.,Disease,,
klebsiella_pneumoniae,Klebsiella Pneumoniae,"Klebsiella pneumoniae is a Gram-negative, non-motile, encapsulated, lactose-fermenting, facultative anaerobic, rod-shaped bacterium. It appears as a mucoid lactose fermenter on MacConkey agar.",Bacillus,"[""negative"", ""nosocomial infection"", ""multi-drug resistant"", ""ferments lactose (pink colonies on macConkey agar"", ""non-motile"", ""affects alcoholics"", ""aspiration"", ""currant jelly sputum""]",
enterobacter_cloacae,Enterobacter Cloacae,"Enterobacter cloacae is a clinically significant Gram-negative, facultatively-anaerobic, rod-shaped bacterium.",Bacillus,"[""negative"", ""nosocomial"" ""multi-drug resistant"", ""pink colonies on macConkey agar due to lactose fermentation""]",
serratia_marcescens,Serratia Marcescens,"Serratia marcescens is a species of rod-shaped, Gram-negative bacteria in the family Yersiniaceae. It is a facultative anaerobe and an opportunistic pathogen in humans.",Bacillus,"[""negative"", ""nosocomial"" ""multi-drug resistant"", ""pink colonies on macConkey agar due to lactose fermentation"", ""motile"", ""pink pigment in shower""]",
macconkey_agar,Macconkey Agar,"MacConkey’s agar is a selective medium that contains lactose, a pH indicator (neutral red), crystal violet to inhibit the growth of gram-positive organisms, and bile salts in low concentration to inhibit the growth of various commensals.",Lab,,
mannitol_agar,Mannitol Agar,A medium that differentiates bacteria based on their ability to ferment mannitol.,Lab,,
m_cell,M Cell,"M cells, also known as microfold cells, are specialized cells in the intestinal epithelium that play a key role in the body's immune response",Generic,,
acid_solubility,Acid Solubility,"in microbiology, pertains to whether a substance or organism is affected by acid",Generic,,
hektoen_agar,Hektoen Agar,"A medium for isolating and differentiating gram-negative enteric pathogens, such as Salmonella and Shigella.",Lab,,
non_typhoid_salmonella,Non_Typhoid Salmonella,Type of salmonella causes gastroenteritis from contaminated food and animals.,Bacillus,"[""negative"", ""motile"", ""polysaccharide capsule"", ""acid labile"", ""hydrogen sulfide gas"", ""K2 antigen"", ""phase variation changes H group on O antigen"", ""S Enteritidis and Typhimurium"", ""water and foodborne"", ""animal contact"", ""usually self limited, but invasive needs antibiotics""]",
typhoidal_salmonella,Typhoidal Salmonella,"Typhoidal salmonella is a classification of salmonella bacteria that causes typhoid fever or paratyphoid fever. The specific serotypes that cause these illnesses include Typhi, Paratyphi A, Paratyphi B, and Paratyphi C",Bacillus,"[""negative"", ""motile"", ""polysaccharide capsule"", ""acid labile"", ""K1 antigen"", ""hydrogen sulfide gas"", ""phase variation changes H group on O antigen"", ""typhi and paratyphi"", ""human feces"", ""colonization in gall bladder"", ""endemic in developing world like southeast asia"", ""Vi polysaccharide capsular antigen resists neutrophilic response, inhibits chemotaxis, and interferes with complement and oxidative burst"", ""monocytic immune response"", ""enteric fever stepwise fever, affects bone marrow"", ""rose-colored macules""]",
animal_contact,Animal Contact,Close contact with animals or substances related to animals (such as animal feces),Generic,"[""zoonotic""]",
gastroentiritis,Gastroentiritis,Gastroenteritis is an inflammation of the stomach and intestines that causes vomiting and diarrhea,Clinical,,
bacteremia,Bacteremia,"Bacteremia is a condition where bacteria are present in the bloodstream. It can occur when bacteria from a localized infection, such as a urinary tract infection or pneumonia, enter the bloodstream.",Clinical,,
fecal_oral,Fecal-Oral Route,The fecal-oral route is a way that disease-causing pathogens from an infected person's stool are passed to another person's mouth,Generic,,
complement,Complement,The complement system is a part of the body's immune system that helps to eliminate pathogens and damaged cells. It's made up of more than 60 proteins that work together in a cascade ,Generic,"[""opsonization"", ""signaling"", ""membrane attack complex forms from c5-c9""]",
oxidative_burst,Oxidative Burst,"Oxidative burst, also known as respiratory burst, is a process in which cells release reactive oxygen species (ROS) to degrade pathogens and bacteria",Generic,,
monocyte,Monocyte,"Monocytes are a type of white blood cell (leukocytes) that reside in your blood and tissues to find and destroy germs (viruses, bacteria, fungi and protozoa) and eliminate infected cells. ",Generic,"[""macrophages"", ""dentritic cells""]",
bradycardia,Bradycardia,"Bradycardia is a type of abnormal heart rhythm, or arrhythmia, that occurs when the heart beats too slowly",Clinical,,
macule,Macule,"A macule is a flat, discolored area of skin that is less than 1 centimeter in width and does not change the skin's texture or thickness",Clinical,,
intestinal_bleeding,Intestinal Bleeding,"Gastrointestinal (GI) bleeding, also known as gastrointestinal hemorrhage, is bleeding that occurs anywhere in the digestive tract, from the mouth to the anus",Clinical,,
hepatosplenomegaly,Hepatosplenomegaly,Hepatosplenomegaly is a condition in which both the liver and spleen are enlarged,Clinical,,
anemia,Anemia,Anemia is a blood disorder that occurs when the body doesn't produce enough healthy red blood cells or the red blood cells aren't functioning properly,Clinical,,
leukopenia,Leukopenia,"Leukopenia is a condition where the body has a lower than normal number of white blood cells, or leukocytes, in the blood.",Clinical,,
shigella,Shigella Species,A bacterium species causing bacillary dysentery,Bacillus,"[""negative"", ""ABCD serogroups are represented by S. dysenteriae, S. flexneri, S. boydii, and S. sonnei respectively"", ""S. dysenteriae affects majority"", ""human reservoir"", ""small viral load"", ""escapes through M cell phagolysosome"", ""facultative intracellular"", ""acid stable"", ""inflammatory diarrhea"", ""shiga toxin causes glomerular damage by inactivating 60S subunit of ribosome"", ""type 3 secretion"", ""HUS"", ""affects children under 10 years""]",
bloody_stool,Bloody Stool,"Bloody stool, also known as rectal bleeding, occurs when blood passes from the anus or rectum",Clinical,,
type_three_secretion,Type III Secretion,"Type III secretion is Sec independent and appears to require a low calcium environment. The secretion machinery, having some similarity to the flagellar apparatus, is composed of more than 20 proteins that form a channel spanning the cytoplasmic bacterial membrane, the periplasm, and outer bacterial membrane.",Generic,"[""injection pore""]",
schistocyte,Schistocyte,"Schistocytes are fragmented red blood cells that can indicate a number of conditions, including microangiopathic hemolytic anemia, thrombotic thrombocytopenic purpura (TTP), and hemolytic-uremic syndrome",Clinical,,
thrombocytopenia,Thrombocytopenia,"Thrombocytopenia is a condition in which the body has abnormally low levels of platelets in the blood, making it harder for the blood to clot",Clinical,,
hus,Hemolytic Uremic Syndrome,"Hemolytic uremic syndrome (HUS) is a rare but serious blood disorder that affects the kidneys and blood clotting. It's characterized by low red blood cells, low platelets, and acute kidney injury.",Clinical,,
escherichia_coli,Escherichia Coli,"Escherichia coli is a gram-negative, facultative anaerobic, rod-shaped, coliform bacterium of the genus Escherichia that is commonly found in the lower intestine of warm-blooded organisms.",Bacillus,"[""negative"", ""lactose fermenter, pink on macconkey agar"", ""K antigen"", ""Green sheen on EMB agar"", ""fimbriae are #1 cause of UTI"", ""#1 cause of gram negative sepsis"", ""if K antigen present, causes neonatal meningits""]",
eosin_methylene_blue_agar,Eosin_Methylene_Blue Agar,EMB selects against Gram-positive organisms and differentiates between lactose fermenters (green sheen very prominently produced by E. coli) and non-fermenters.,Lab,,
enterohemorrhagic_ecoli,Enterohemorrhagic_E Coli,"Enterohemorrhagic E. coli (EHEC) causes a disease (like that caused by Shigella) known as hemorrhagic colitis, which is a non-febrile bloody diarrhea. In the U.S., the most commonly identified serotype associated with EHEC is the O157:H7 serotype.",Bacillus,"[""negative"", ""undercooked meat"", ""bloody diarrhea"", ""does not ferment sorbitol"", ""inhibits 60s (shiga like toxin"", ""0157H7 antigen serotype""]",
enteropathogenic_ecoli,Enteropathogenic Ecoli,"Causes watery, non-bloody, self-limiting diarrhea. Presence of PMNs minimal. Common in infants and children. Prominent and intimate adherence observed. No toxins yet identified. EPEC and EHEC are able to modify the host cellular actin and cytoskeletal elements in order to form a characteristic attaching and effacing lesion of the brush border. This “pedestal” formation, as it is called, was so named for the look achieved by the attaching and effacing",Bacillus,"[""negative"", ""watery diarrhea"", ""modifies host actin to create an adhesion and effacing lesion""]",
enteroinvasive_ecoli,Enteroinvasive Ecoli,"Enteroinvasive E. coli (EIEC) produce a disease very similar to shigellosis. The disease occurs most commonly in children in developing countries and in travelers to these countries. Similar to Shigella, EIEC strains are non-lactose or late lactose fermenters and are non-motile. EIEC produce disease by invading intestinal mucosal epithelial cells.",Bacillus,"[""negative"", ""similar to shigella"", ""invades epithelial cells"", ""non-motile""]",
enterotoxigenic_ecoli,Enterotoxigenic_E Coli,"Enterotoxigenic E. coli (ETEC) causes a watery, non- bloody, self-limiting diarrhea (Traveler’s diarrhea).",Bacillus,"[""negative"", ""traveler's diarrhea"", ""Mexico"", ""heat labile toxin - increases cAMP similar to cholera toxin"", ""heat stable toxin - increase cGMP"", ""watery diarrhea""]",
thrombosis,Thrombosis,Thrombosis is a blood clot that forms in a blood vessel and restricts blood flow,Clinical,,
glomerulus,Glomerulus,"a cluster of nerve endings, spores, or small blood vessels, in particular a cluster of capillaries around the end of a kidney tubule, where waste products are filtered from the blood",Generic,,
heat_solubility,Heat Solubility,Pertaining to a substance or organism's ability to withstand hot temperatures,Generic,,
yersinia_enterocolitica,Yersinia Enterocolitica,"Yersinia enterocolitica is a Gram-negative, rod-shaped bacterium, belonging to the family Yersiniaceae. It is motile at temperatures of 22–29°C, but becomes nonmotile at normal human body temperature.",Bacillus,"[""negative"", ""puppy feces"", ""commonly infects toddlers"", ""contaminated milk"", ""resistant to cold temps"", ""bipolar staining"", ""similar to stable toxin of ETEC"", ""MIMICS appendicitis""]",
yersinia_pestis,Yersinia Pestis,"Yersinia pestis is a gram-negative, non-motile, coccobacillus bacterium without spores that is related to both Yersinia enterocolitica and Yersinia pseudotuberculosis",Bacillus,"[""negative"", ""bubonic plague"", ""rats and prairie dogs"", ""flea is vector"", ""bubos (swollen lymph nodes)"", ""causes DIC"", ""exotoxin"", ""yersenia associated protiens inhibit phagocytosis and cytokine production"", ""killed vaccine""]",
appendicitis,Appendicitis,"Appendicitis is a medical emergency that occurs when the appendix becomes inflamed, swollen, and infected",Disease,,
flea,Flea,"Flea, the common name for the order Siphonaptera, includes 2,500 species of small flightless insects that live as external parasites of mammals and birds.",Generic,,
tick,Tick,"Ticks are parasitic arachnids of the order Ixodida. They are part of the mite superorder Parasitiformes. Adult ticks are approximately 3 to 5 mm in length depending on age, sex, species, and ""fullness"".",Generic,,
louse,Louse,"Louse (pl.: lice) is the common name for any member of the clade Phthiraptera, which contains nearly 5,000 species of wingless parasitic insects",Generic,,
lymphadenopathy,Lymphadenopathy,"Lymphadenopathy, also known as adenopathy, is a condition where lymph nodes are abnormally swollen or have an altered consistency",Clinical,,
campylobacter_jejuni,Campylobacter Jejuni,"Campylobacter jejuni is a species of pathogenic bacteria that is commonly associated with poultry, and is also often found in animal feces.",Bacillus,"[""negative"", ""heat resistant"", ""intestinal tract of poultry"", ""guillain barre"", ""reactive arthritis""]",
guillain_barre,Guillain Barre,an immune system response that causes ascending demyelination of peripheral nerves.,Disease,,
vibrio_cholera,Vibrio Cholera,"Vibrio cholerae is a species of Gram-negative, facultative anaerobe and comma-shaped bacteria. The bacteria naturally live in brackish or saltwater where they attach themselves easily to the chitin-containing shells of crabs, shrimp, and other shellfish",Bacillus,"[""negative"", ""comma shaped"", ""rice water diarrhea"", ""acid labile"", ""toxin coregulated pilus - attaches to intestinal wall"", ""cholera toxin activates Gs, elvated cAMP, GM1 ganglioside"", ""El Tor Biotype for O antigen more common for epidemic outbreaks than classical"", ""oral rehydration is treatment""]",
alkaline_media,Alkaline Media,"An alkaline medium is a solution with a pH higher than 7, which indicates that it is more alkaline than neutral or acidic",Lab,,
vibrio_vulnificus,Vibrio Vulnificus,"Vibrio vulnificus is a species of Gram-negative, motile, curved rod-shaped, pathogenic bacteria of the genus Vibrio. Present in marine environments such as estuaries, brackish ponds, or coastal areas, V. vulnificus is related to V. cholerae, the causative agent of cholera.",Bacillus,"[""negative"", ""raw shellfish"", ""sever wound infections and necrosis (flesh eating)"", ""siderophores"", ""endotoxin""]",
vibrio_parahemolyticus,Vibrio Parahemolyticus,"Vibrio parahaemolyticus is a curved, rod-shaped, Gram-negative bacterial species found in the sea and in estuaries which, when ingested, may cause gastrointestinal illness in humans. V. parahaemolyticus is oxidase positive, facultatively aerobic, and does not form spores.",Bacillus,"[""negative"", ""oysters"", ""thermostable direct hemolysin"", ""enterotoxin"", ""T3SS"", ""similar to cholera but less severe""]",
helicobacter_pylori,Helicobacter Pylori,"Helicobacter pylori, previously known as Campylobacter pylori, is a gram-negative, flagellated, helical bacterium. Mutants can have a rod or curved rod shape that exhibits less virulence",Bacillus,"[""negative"", ""helical rod"", ""stomach/pylorus"", ""endoscopy"", ""duodenal ulcers (gastrin up, somatostatin down"", ""MALT"", ""gastric adenocarcinoma"", ""triple therapy of PPI, amoxicillin, and macrolides""]",
ulcer,Ulcers,"An ulcer is an open sore in the lining of the stomach or duodenum, the first part of the small intestine",Clinical,,
malt,mucosa associated lymphoid tissue,"MALT stands for mucosa-associated lymphoid tissue, which is a collection of lymphoid tissues in the body that are part of the immune system. MALT is found in the moist tissues, or mucosa, that line many organs and body cavities, including the nose, mouth, lungs, and digestive tract",Generic,,
urea_breath_test,Urea Breath Test,"A urea breath test, also known as a Helicobacter pylori (H. pylori) breath test, is a diagnostic procedure that measures the amount of carbon dioxide in your breath after swallowing a urea-containing solution",Lab,,
proteus_mirabilis,Proteus Mirabilis,"Proteus mirabilis is a Gram-negative, facultatively anaerobic, rod-shaped bacterium. It shows swarming motility and urease activity. P. mirabilis causes 90% of all Proteus infections in humans. It is widely distributed in soil and water.",Bacillus,"[""negative"", ""swarming motility"", ""staghorn calculi"", ""struvite stones""]",
bordetella_pertussis,Bordetella Pertussis,"Bordetella pertussis is a Gram-negative, aerobic, pathogenic, encapsulated coccobacillus bacterium of the genus Bordetella, and the causative agent of pertussis or whooping cough",Bacillus,"[""negative"", ""respiratory pili (filamentous hemagglutinin)"", ""droplets"", ""pertussis toxin disrupts ADP ribosylation of Gi protein, cAMP up, disables lymphocyte chemokine receptors"", ""adenylate cyclase toxin produce cAMP, similar to edema factor in anthrax"", ""tracheal cytotoxin damages ciliated cells of respiratory epithelium"", ""whooping cough"", ""catarrhal stage - conjunctival ejection and lacrimation"", ""paroxysmal stage - whooping cough"", ""convalescent stage - gradual reduction in symptoms"", ""killed vaccine"", ""DTaP - purified antigens with diptheria and tetanus toxoids"", ""2 component regulatory system""]",
haemophilus_influenzae,Haemophilus Influenzae,Polysaccharide (polyribitol phosphate-PRP) capsule is anti- phagocytic. Type b encapsulated strains are the most invasive. Non-encapsulated strains are not invasive but are secondary pathogens in upper respiratory tract infections. Endotoxin is the only toxin this organism produces. H. influenzae type b produces IgA protease,Coccobacillus,"[""negative"", ""coccobacillary"", ""factor 5 and 10 (NAD + hematin) on chocolage agar"", ""aerosol"", ""pneumonia in children"", ""asplenic or sickle cell more vulnerable"", ""capsular type B strain causes meningitis"", ""DIP vaccine (polysaccharide capsule + dip toxin 2- 18 months"", ""rifampin prophylaxis""]",
chocolate_agar,Chocolate Agar,"Chocolate agar is a brown color and will grow all bacteria, including Gram-positive and Gram-negative organisms including fastidious organisms that will not grow on BAP. The primary ingredient is beef extract which provides nitrogenous nutrients, vitamins, and minerals. Neisseria gonorrhoeae and Haemophilus spp.",Lab,,
aerosol,Aerosol,Aerosol transmission is the spread of infectious diseases through tiny droplets called aerosols that can travel long distances in the air,Generic,,
epiglotitis,Epiglotitis,"Epiglottitis is a rare, life-threatening condition that causes the epiglottis to swell and become inflamed. The epiglottis is a flap of tissue at the base of the tongue that prevents food from entering the trachea while swallowing. When the epiglottis swells, it can block the airway, making it difficult to breathe and potentially leading to respiratory arrest",Clinical,,
legionella_pneumophila,Legionella Pneumophila,Facultative (non-obligate) intracellular bacterium. Survives and multiplies in monocytes and macrophages but not in neutrophils (PMNs). It is ingested by alveolar macrophages in the air spaces of the lung. The bacteria inhibit phagosome-lysosomal fusion and are able to survive and multiply in specialized endosomes,Bacillus,"[""negative"", ""buffered charcoal yeast extract with cysteine and iron"", ""legionnaires disease - AC systems, old buildings, smokers, atypical pneumonia, unilobar infiltrate on xray, headache and confusion, diarrhea, high fever"", ""pontiac fever - self limited fever and malaise""]",
silver_stain,Silver Stain,"Silver staining is a sensitive method for detecting proteins and nucleic acids in polyacrylamide gels. It's based on the principle of reducing silver ions to metallic silver near protein molecules. The gel turns a dark brown or black color, depending on the amount of silver that's incorporated into the bands. ",Lab,,
oxidase,Oxidase,"an enzyme which promotes the transfer of a hydrogen atom from a particular substrate to an oxygen molecule, forming water or hydrogen peroxide",Lab,,
urine_antigen_test,Urine Antigen Test,A urine antigen test (UAT) is a non-invasive diagnostic test that detects the presence of pathogens in urine to help identify respiratory infections,Lab,,
