Question,Choices,Answer
A sample of the material obtained from the patients pharynx (in the previous question) was sent to the laboratory for culture and Gram stain. The material grew as creamy white colonies on blood agar and Sabouraud dextrose agar with chloramphenicol. A Gram stain of one of the colonies contains large oval gram-positive budding organisms. Which of the following organisms is the most likely cause of this patients current pharyngeal problems?,"Herpes simplex virus, Streptococcus pyogenes, Candida albicans, Neisseria gonorrhoeae, Corynebacterium diphtheriae",Candida albicans
"A 24-year-old woman sees her physician because of pruritus and erythema of her genitalia. Physical examination reveals erythematous labia majora and minora. A gynecologic examination is performed. The patients cervix appears similar to that shown in the figure on the right. A sample of the white material collected from the cervix is smeared on a slide and Gram stained, similar to that shown in the figure on the right. Which of the following organisms is the most likely cause of this patients infection?Image A courtesy of the Centers for Disease Control and Prevention. Image B courtesy of the Centers for Disease Control and Prevention, Dr. Stuart Brown.","Trichomonas vaginalis, Candida albicans, Gardnerella vaginalis, Lactobacillus acidophilus, Herpes simplex virus 2",Candida albicans
"Regarding Plasmodium species differentiation in blood smears, match the etiologic agent of malaria on the left with the corresponding image panel designation on the right.Carroll, Karen C. Jawetz Melnick & Adelbergs Medical Microbiology 27 E, 27th Edition. McGraw-Hill Education / Medical, 2015. [Bookshelf Online].","Plasmodium vivax/ovale, Panel A, Panel A, Plasmodium falciparum, Panel B, Panel B",Panel B
"A 29-year-old woman presents with areas of hyperpigmentation on her chest (refer to the figure A below). The erythematous lesions are neither pruritic nor edematous. A skin scraping is smeared on a slide and H&E stained (the results are shown in the figure B below). Which of the following organisms is the most likely cause of this patients infection?Images courtesy of the Centers for Disease Control and Prevention, Dr Lucille K Georg.","Malassezia furfur, Streptococcus pyogenes, Staphylococcus aureus, Candida albicans, Blastomyces dermatitidis",Malassezia furfur
"A feared infectious complication seen in patients with long-standing diabetic ketoacidosis is invasive rhinocerebral mucormycosis caused by opportunistic fungi of the genera Rhizopus and Mucor. In a patient with mucormycosis, fungal stain of fluid obtained from urgent surgical sinus drainage would most likely reveal which of the following?","A.	45-degree angle branching, septate hyphae with rare fruiting bodies, B.	5- to 10-micron yeasts with wide capsular halo on India ink stain, C.	Broad-based budding dimorphic fungi, D.	Irregular, broad, non-septate hyphae with 90-degree branching, E.	Pseudohyphae with budding yeasts","D.	Irregular, broad, non-septate hyphae with 90-degree branching"
"A 12-year-old boy from New York presented with shaking chills, fatigue, arthralgia, anorexia, nausea and vomiting, cough, and dyspnea. He has no history of foreign travel. A urine sample collected from the patient is a dark color. His vital signs are temperature 38.9∞C, pulse 120/min, blood pressure 120/85 mm Hg, and respirations 22/min. Physical examination reveals hepatosplenomegaly and yellow sclera and yellowing of his skin. A complete blood cell count indicates that the patient had a normochromic normocytic anemia, thrombocytopenia, and a leukopenia with a large number of atypical lymphocytes present. The photomicrograph below shows a smear of a blood sample taken from the patient. The arrow is pointing to a maltese crossù characteristic. Which of the following is the most likely cause of this patients condition?Image courtesy of the Centers for Disease Control and Prevention, Steven Glenn, Laboratory & Consultation Division.","Babesia, Listeria, Plasmodium, Bartonella, Yersinia",Babesia
"The fungal pathogen in the image provided occurs worldwide in nature and is isolated readily from dry pigeon feces, as well as trees, soil, and other sites. Inhalation of desiccated yeast cells may lead to dissemination to other organs, especially in immunocompromised persons. Staining of cerebral spinal fluid with giemsa or india ink stain demonstrates the presence of which of the following structures?Carroll, Karen C. Jawetz Melnick & Adelbergs Medical Microbiology 27 E, 27th Edition. McGraw-Hill Education / Medical, 2015. [Bookshelf Online].","Polysaccharide capsule, Pseudohyphae, Cell wall mycolic acid, Spherules, Mold form arthrospores",Polysaccharide capsule
The most common mechanism of antimicrobial resistance is which of the following?,"modified porin channels in gram-positive bacteria, production of structurally-altered ribosomal binding sites, switching to alternative metabolic pathways, production of beta-lactamases, efflux pumps that remove antibiotics from bacterial cells",production of beta-lactamases
ThemecAgene encodes clinically-important resistance resulting in which of the following:,"energy-dependent drug efflux, chromosomal beta-lactamase, plasmid-mediated beta-lactamase, penicillin binding protein with lowered affinity for drug binding, modified porin channels",penicillin binding protein with lowered affinity for drug binding
Vancomycin resistance inEnterococcusspecies results from which of the following mechanisms?,"cell wall precursors that terminate in D-lactate instead of D-alanine, methylation of the ribosomal target site of vancomycin, production of defective cross-linking cell wall peptidases, a thickening of the cell wall that prevents penetration of the drug to its target, production of a potent efflux pump",cell wall precursors that terminate in D-lactate instead of D-alanine
The fluoroquinolones employ which of the following as the principal mechanism of antimicrobial action?,"reversible inhibition of protein synthesis at the 50S ribosomal subunit, calcium-dependent interference with cell membrane polarity, irreversible inhibition of protein synthesis at the 30S ribosomal subunit, inhibition of DNA gyrase and topoisomerase, inhibition of DNA-dependent RNA polymerase",inhibition of DNA gyrase and topoisomerase
"A report from the clinical microbiology laboratory indicated that a patients isolate ofStaphylococcus aureuswas resistant to oxacillin, i.e., it was an MRSA. This information should be used to select appropriate therapy in the following manner:","The patient could be effectively managed with a drug that inhibits the specific efflux pump associated with MRSA., The patient cannot be treated with antibiotics that interfere with cell wall synthesis., It is necessary to use a bactericidal antibiotic to treat MRSA., An effective therapeutic choice would be penicillin plus a beta-lactamase inhibitor in combination., The patient‚Äôs isolate should be regarded as resistant to all beta-lactam antibiotics except ceftaroline.",The patient‚Äôs isolate should be regarded as resistant to all beta-lactam antibiotics except ceftaroline.
"Your roommate is studying for the USMLE Step 1 exam, and asks you to remind him about plasmid mediated drug resistance among the penicillins. Knowing that your microbiology exam was coming up soon, you had just reviewed it and explained that the mechanism of plasmid-mediated resistance to penicillin is:","reduced uptake or increased export of drug, modification by acetylation, active export out of the cell and reduced enzymatic affinity, change in receptor by methylation of rRNA, beta-lactamase cleavage of the beta-lactam ring",beta-lactamase cleavage of the beta-lactam ring
Another classmate in the same predicament described above asks you which of the following is the major mechanism of drug resistance to tetracyclines:,"modification by acetylation, change in receptor by methylation of rRNA, beta-lactamase cleavage of the beta-lactam ring, active export out of the cell and reduced enzymatic affinity, reduced uptake or increased export of drug",active export out of the cell and reduced enzymatic affinity
"A 43 year old man returned to his primary care physician with continued symptoms for one week of fever, sinus pain, and purulent nasal discharge. His physician had originally treated him with azithromycin, but had switched him to clindamycin when he did not improve after an initial five days of therapy. Which one of the following would most likely explain the patients persistent symptoms?","The patient was probably not compliant with the azithromycin regimen., The patient must have been infected with anaerobic bacteria which are known to be resistant to both of these drugs., Neither antibiotic can be used to treat respiratory infections because of low drug levels in sinus tissues., A bactericidal antibiotic is required for this type of infection., Both drugs are affected by some of the same common resistance mechanisms.",Both drugs are affected by some of the same common resistance mechanisms.
Which of the following is responsible for the toxicity of endotoxin?,"Core polysaccharide, Lipoteichoic acid, O polysaccharide side chain, Lipid A",Lipid A
Which of the toxins listed below is an example of an A-B type toxin?,"Toxic Shock Syndrome Toxin 1 (TSST-1), Diphtheria toxin, Streptococcal Pyrogenic Exotoxin, Listeriolysin O",Diphtheria toxin
Which of the following best describes the toxin mechanism of action that leads to edema and excess fluid loss?,"ADP-ribosylation of Elongation Factor 2, Elevated levels of intracellular cAMP, Inactivation of 60S ribosomal subunit, Non-specific activation of T cells with cytokine release",Elevated levels of intracellular cAMP
"A 5-year-old child who recently moved from Eastern Europe is brought to the emergency center with difficulty breathing and a low-grade fever. Physical examination reveals a grayish pharyngeal exudate, enlarged cervical lymph nodes and partial soft palate paralysis. Bacteria isolated from the pharyngeal exudate demonstrate exotoxin production in the laboratory in an ELEK test. Which of the following is the mechanism of action for the toxin produced by the causative agent in this childs illness?","Inhibits protein synthesis, Increases fluid secretion, Lyses cell membranes, Inhibits neurotransmitter release",Inhibits protein synthesis
E. colistrains isolated from a 4-year-old Caucasian female with bloody diarrhea produce a substance that inhibits protein synthesis in human cells. The substance shares many properties with the toxin produced by which ONE of the following organisms?,"Yersinia enterocolitica, Salmonella typhi, Shigella dysenteriae, Vibrio cholerae",Shigella dysenteriae
Which of the following is best described as a poorly immunogenic heat stable toxin that is an integral part of the gram-negative outer membrane?,"Enterotoxin, Endotoxin, Exotoxin, Exfoliatin",Endotoxin
What do Toxic Shock Syndrome Toxin-1 and Erythrogenic Toxin have in common?,"Both are superantigens, Both are A-B type toxins, Both are cytotoxins, Both are enterotoxins",Both are superantigens
A 54-year-old man presents to the Emergency Center (EC) with a sore on his right shoulder. Physical examination demonstrates an ulcer with central black eschar surrounded by edema. Exudate microscopy reveals chains of large gram-positive rods. Which of the following would be most helpful in making the diagnosis?,"History of ill contacts, Occupational history, Sexual history, History of prior EC visits",Occupational history
"A 5-month-old infant is brought by her mother to the pediatricians office. The mother is concerned because the child is having difficulty taking her bottle or sucking on a pacifier.† The mother indicates that the child is not breastfed, and takes formula which is sometimes sweetened with small amounts of honey.† Exam of the child reveals that she is unable to raise her head and has decreased muscular tone. Which of the following is the most likely cause of this childs condition?","Ingestion of preformed toxin with primary action in the gut, Ingestion of spores that become toxin producing cells in the gut, Ingestion of live bacteria that produce toxin in the gut, Ingestion of a substance that induces an allergic response in the gut",Ingestion of spores that become toxin producing cells in the gut
"A 24-year-old American man is traveling in rural India during the monsoon season. During the course of a few hours, he develops severe watery diarrhea. Over the course of 30 hours he has approximately one episode per hour of liquid stools that appear clear with little white flecks of mucus. He is afebrile. He attempts to rehydrate himself, and the symptoms resolve within approximately 48 hours. The toxin responsible for the watery diarrhea of this patient shares the same mechanism of action with which of the following?","Enterohemorrhagic E. coli (EHEC), Enteroinvasive E. coli (EIEC), Enterotoxigenic E. coli (ETEC), Enteropathogenic E. coli (EPEC)",Enterotoxigenic E. coli (ETEC)
